日期,开盘,最高,最低,收盘,成交量,amount
2024-10-15,0.97,0.97,0.93,0.932,33299869.23,3152966.729
2024-10-16,0.92,0.936,0.916,0.923,21592574.53,1997575.365
2024-10-17,0.929,0.937,0.915,0.915,16136312.1,1493868.522
2024-10-18,0.915,0.974,0.91,0.952,26579690.68,2485860.094
2024-10-21,0.955,0.968,0.945,0.955,27293318.28,2610266.173
2024-10-22,0.955,0.965,0.95,0.964,18129246.25,1738016.403
2024-10-23,0.963,0.977,0.957,0.965,21715136.14,2099259.917
2024-10-24,0.961,0.962,0.951,0.955,19954738.48,1906622.101
2024-10-25,0.957,0.974,0.954,0.965,22049608.08,2126664.958
2024-10-28,0.966,0.968,0.955,0.967,28128201.12,2709825.138
2024-10-29,0.968,0.974,0.958,0.958,25968716.28,2502649.312
2024-10-30,0.955,0.961,0.946,0.954,33472106.65,3190506.483
2024-10-31,0.952,0.963,0.947,0.955,21475468.82,2051817.614
2024-11-01,0.956,0.964,0.949,0.952,22098196.88,2113892.656
2024-11-04,0.954,0.966,0.952,0.966,17975902.53,1722849.363
2024-11-05,0.965,0.994,0.961,0.992,30546941.31,2996963.491
2024-11-06,0.993,1.004,0.983,0.989,34316738.25,3410890.296
2024-11-07,0.981,1.014,0.979,1.014,29286569.34,2916041.979
2024-11-08,1.026,1.029,1.004,1.007,32861811.51,3337425.384
2024-11-11,0.999,1.018,0.995,1.018,22189308.69,2232184.98
2024-11-12,1.018,1.029,0.999,1.006,29716475.3,3010203.835
2024-11-13,1.0,1.012,0.998,1.009,16793018.8,1686747.219
2024-11-14,1.007,1.009,0.988,0.988,29354883.25,2932563.446
2024-11-15,0.986,0.991,0.97,0.972,28232934.79,2774361.439
2024-11-18,0.975,0.982,0.956,0.962,30789547.91,2987746.123
2024-11-19,0.962,0.971,0.948,0.971,30046191.67,2881870.47
2024-11-20,0.967,0.979,0.965,0.976,26126301.17,2538772.92
2024-11-21,0.975,0.978,0.969,0.976,22780872.95,2218249.607
2024-11-22,0.973,0.975,0.944,0.946,32587731.39,3136513.442
2024-11-25,0.946,0.95,0.93,0.939,29910543.2,2815211.697
2024-11-26,0.936,0.945,0.935,0.936,24444467.83,2296077.067
2024-11-27,0.934,0.954,0.928,0.954,30385990.84,2854908.633
2024-11-28,0.952,0.954,0.942,0.944,26883960.66,2547781.301
2024-11-29,0.943,0.965,0.942,0.955,32007922.21,3052725.119
2024-12-02,0.954,0.968,0.952,0.965,30045818.15,2890295.693
2024-12-03,0.966,0.969,0.958,0.964,25928823.22,2495511.91
2024-12-04,0.963,0.966,0.955,0.957,26556580.94,2550768.293
2024-12-05,0.956,0.961,0.953,0.957,25940648.44,2482138.382
2024-12-06,0.957,0.976,0.956,0.971,32053012.54,3098645.343
2024-12-09,0.97,0.976,0.962,0.968,28151659.32,2727136.338
2024-12-10,1.001,1.006,0.973,0.976,39186399.36,3863706.924
2024-12-11,0.975,0.978,0.969,0.976,28753230.42,2804462.464
2024-12-12,0.976,0.985,0.973,0.984,30112638.42,2947204.78
2024-12-13,0.979,0.979,0.961,0.964,38522987.34,3730307.16
2024-12-16,0.962,0.963,0.951,0.955,33100082.22,3164806.776
2024-12-17,0.952,0.964,0.952,0.955,30486588.4,2919624.219
2024-12-18,0.959,0.964,0.957,0.96,29786127.56,2859366.893
2024-12-19,0.953,0.965,0.949,0.962,31703771.65,3037846.243
2024-12-20,0.96,0.968,0.958,0.961,32884787.79,3164811.508
2024-12-23,0.96,0.967,0.957,0.959,32746742.68,3152269.923
2024-12-24,0.959,0.969,0.958,0.969,33747452.03,3251876.297
2024-12-25,0.968,0.972,0.962,0.967,33729448.4,3261455.41
2024-12-26,0.966,0.971,0.964,0.969,31819894.71,3082527.274
2024-12-27,0.968,0.976,0.965,0.967,37598910.54,3646593.153
2024-12-30,0.967,0.974,0.965,0.971,35906323.17,3485726.061
2024-12-31,0.971,0.973,0.955,0.955,41880652.79,4038110.703
