日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-05-06,1.852,1.853,1.863,1.846,8690891,1611906606.445,0.94,2.04,0.037,7.36
2024-05-07,1.851,1.85,1.857,1.844,5551162,1027079885.132,0.7,-0.16,-0.003,4.7
2024-05-08,1.847,1.821,1.847,1.82,5926798,1083975322.9,1.46,-1.57,-0.029,5.02
2024-05-09,1.828,1.856,1.86,1.828,7593648,1404404803.6,1.76,1.92,0.035,6.44
2024-05-10,1.858,1.84,1.859,1.829,6345733,1166185263.927,1.62,-0.86,-0.016,5.38
2024-05-13,1.819,1.817,1.835,1.808,5506427,1003162015.7,1.47,-1.25,-0.023,4.67
2024-05-14,1.821,1.813,1.831,1.809,5137245,933390405.971,1.21,-0.22,-0.004,4.35
2024-05-15,1.814,1.797,1.823,1.795,6397224,1155215878.492,1.54,-0.88,-0.016,5.42
2024-05-16,1.806,1.801,1.819,1.794,6594689,1191189941.165,1.39,0.22,0.004,5.59
2024-05-17,1.795,1.824,1.825,1.791,7089806,1282770696.493,1.89,1.28,0.023,6.01
2024-05-20,1.828,1.831,1.844,1.823,8230898,1508793859.48,1.15,0.38,0.007,6.98
2024-05-21,1.826,1.818,1.831,1.813,4508421,820583253.22,0.98,-0.71,-0.013,3.82
2024-05-22,1.819,1.839,1.842,1.814,7434674,1358050288.773,1.54,1.16,0.021,6.3
2024-05-23,1.837,1.811,1.837,1.807,6599889,1199542616.421,1.63,-1.52,-0.028,5.59
2024-05-24,1.804,1.781,1.821,1.778,6828319,1226193736.942,2.37,-1.66,-0.03,5.79
2024-05-27,1.784,1.792,1.793,1.762,6219239,1104233033.265,1.74,0.62,0.011,5.27
2024-05-28,1.784,1.769,1.789,1.766,4237288,752314720.067,1.28,-1.28,-0.023,3.59
2024-05-29,1.768,1.772,1.793,1.765,6817607,1212774231.5,1.58,0.17,0.003,5.78
2024-05-30,1.772,1.777,1.783,1.767,4575191,811975922.1,0.9,0.28,0.005,3.88
2024-05-31,1.781,1.772,1.794,1.77,5199314,926361099.15,1.35,-0.28,-0.005,4.41
2024-06-03,1.769,1.782,1.786,1.764,5534371,983357008.728,1.24,0.56,0.01,4.69
2024-06-04,1.778,1.806,1.812,1.777,7450205,1338179961.014,1.96,1.35,0.024,6.31
2024-06-05,1.805,1.796,1.821,1.796,5298417,958489683.728,1.38,-0.55,-0.01,4.49
2024-06-06,1.804,1.785,1.808,1.778,6577509,1180252981.529,1.67,-0.61,-0.011,5.57
2024-06-07,1.784,1.748,1.786,1.729,10017845,1757294814.554,3.19,-2.07,-0.037,8.49
2024-06-11,1.735,1.752,1.757,1.727,6034655,1050263762.575,1.72,0.23,0.004,5.11
2024-06-12,1.746,1.743,1.754,1.742,3943802,689179251.875,0.68,-0.51,-0.009,3.34
2024-06-13,1.752,1.742,1.766,1.741,7245042,1267620108.3,1.43,-0.06,-0.001,6.14
2024-06-14,1.745,1.756,1.762,1.726,6487355,1130929526.855,2.07,0.8,0.014,5.5
2024-06-17,1.746,1.768,1.775,1.743,6088884,1074684609.6,1.82,0.68,0.012,5.16
2024-06-18,1.769,1.776,1.785,1.766,4924351,874882847.353,1.07,0.45,0.008,4.17
2024-06-19,1.781,1.753,1.783,1.752,6303647,1108481829.85,1.75,-1.3,-0.023,5.34
2024-06-20,1.75,1.728,1.758,1.727,5944620,1033472874.31,1.77,-1.43,-0.025,5.04
2024-06-21,1.725,1.723,1.729,1.709,6062895,1042667756.0,1.16,-0.29,-0.005,5.14
